,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,aac(6')-II ,aac(6')-Ib 1  ,aac(6')-Ib 2 ,aacC1 ,aacC2 ,aacC4,aadD,aacA/aphD ,aadA 1a ,aadA1 b,aadA5 1 ,aadA5 2  ,aadA9 1,aadA9 2  ,aph(2')-Id ,aph6ia ,aphA1  ,aphA3,bla-ACC-1,BLA-SHV,blaTEM,blaTEM,blaTEM,blaVIM ,blaPER ,bla-L1  ,blaIMP(2)  ,blaOXA1/blaOXA30 ,blaOXA10 1,blaCTX-M ,blaCTX-Ma  ,blaCTX-Mb,blaCTX-Mc   ,blaCTX-Md,blaCTX-Me,CMYX  (blacmy 2a) ,blaCMY2b ,BLA-cmy-2,cfiA,cfxA,cphA(1) ,carB,CzrC1,16s,16s,16s,dfrA12,IS26,ermB,ermB,ermB,ermB jucl/Gun,ermB jucl/Gun,ermB jucl/Gun,Erm F,ermT,InuB,InuC,IS1216,IS6100,msrD (matA/mel,mcr1,mefA,mecA,mphB,msrA,msrC,pbp2,sat4,str,strA,strB,Sul1 ,Sul2,spcN,tetA,tetB-1,tetB-2,tet C-1,tet C-2,TetL,tetM,tetO-1,tetO-2,Increp64,tet(W),TolC1,tetQ,tet(32),tetPA,tetPB,tetX,Van A,vanB,VatE,water,,
10,291_24-11-2020_A1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,19.2649415748109,19.4484550497944,20.1911623102917,999,999,999,999,999,999,29.4677268523891,24.2979737619441,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,22.6940958165335,999,22.3301928536842,999,999,999,999,999,999,999,999,,
11,65_24-11-2020_B1-1,999,999,999,999,999,999,999,999,22.8453438692219,22.2406894877681,999,999,999,999,999,999,999,21.6352505518265,999,999,999,999,23.8139762061718,999,999,999,999,999,999,999,999,31.7702294052302,999,999,999,999,999,999,999,20.9917466314945,999,999,999,13.0502133709272,13.0062933839877,13.1609471544195,999,22.0810466822819,20.6852644034091,21.3916556081966,20.2854311022736,20.716103882163,22.6369171481249,20.4772184533113,999,23.9784512329369,23.6107460300051,31.2238579364581,21.7794518276339,999,21.9421574465745,999,20.3416417957018,999,999,999,999,999,21.6629308426186,999,999,24.7100959628876,999,999,999,23.6559921630807,999,999,999,999,999,999,18.2958340991255,17.6230430191147,999,16.399157938912,22.7241318684424,16.952171150307,19.4681143329929,19.9404505667782,999,24.2703393752196,999,999,999,22.5837888015835,,
12,312_24-11-2020_B1-1,999,999,999,999,999,999,999,999,19.8003574265434,20.8112153744617,999,999,999,999,999,999,22.4965819227203,20.4771086314348,999,999,23.0248513089707,22.9753551424648,999,999,999,999,999,999,999,999,999,28.2325340037621,999,999,999,999,999,999,999,19.6092117836203,28.8080350237513,999,999,11.57114244989,11.6691000472254,11.604479592207,999,19.6309706765699,18.8880743765605,18.90193456095,18.0170360772492,19.0515121316417,18.9072950277243,18.9145476375348,24.6191075078674,999,23.1764916801976,29.6599792010825,21.2959838612842,999,20.9737212582509,999,17.762608019655,999,999,999,999,999,20.9065745183671,999,999,23.5662369033411,999,21.6534656613128,999,20.8006707140081,999,999,999,999,21.6184897332447,999,17.3259981734204,16.647177039989,999,15.0857121668006,21.627595348417,15.7146474273185,18.3149817397034,20.493935149449,999,23.1878101702405,999,22.960761127649,999,999,,
13,86_03-11-2020_C1,999,999,999,999,999,999,999,999,21.7551781307027,21.0303554659376,999,999,999,999,999,999,999,21.8570162360499,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,29.9570847903877,999,999,999,999,999,19.3504823469285,29.3769679563771,999,999,11.7732705184187,11.7897613114848,11.7549220684197,999,22.1767647945098,18.2257647343712,17.8125880417371,18.1303860325356,19.2372881046824,19.160491527057,19.4929261633906,23.3426925995187,999,23.5592755520618,29.1015540065188,23.0665828002764,999,20.930694684292,999,17.374551095386,999,999,999,999,999,22.187661322066,999,999,23.8757290729442,27.863625343533,999,999,23.0341547288252,999,999,999,999,999,999,18.5128519594688,18.1007388791337,999,14.7661371471647,21.6950388940992,15.061059319079,19.7363856104449,22.4264527592036,999,999,999,999,999,999,,
14,151_03-11-2020_B1-2,999,999,999,999,999,999,999,999,22.4423583362442,24.627383057222,999,999,999,999,999,999,23.9955057133381,23.0303360677064,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,21.1573775674497,999,999,999,13.6381605983939,13.6505917808937,13.6859516380499,999,22.3765006450937,20.6025243736002,20.88647979885,21.7402167938914,21.4109680594803,21.9244269693492,21.522350108141,21.855352193709,999,999,29.700398074454,21.6676930806056,999,23.1160901475208,999,18.2191059953378,999,999,999,999,999,20.6022469193826,999,999,999,999,999,999,999,999,999,999,999,999,22.4129112662497,17.6491605785055,17.6520925293472,999,16.1702502340356,23.9044382701588,16.2316034547101,19.2751345239104,19.7860308549866,999,999,999,999,999,999,,
15,192_03-11-2020_B1-1,999,999,999,999,24.5100861741191,999,999,999,21.8532141314516,22.8273536090038,999,999,33.5604445247915,999,999,999,24.0625981911157,20.1883636696545,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,18.816506854816,28.8269085987613,999,999,11.6232287819603,11.6877286192245,11.641955013999,999,24.0382817930995,18.5432814280813,18.720406368654,18.3689555000397,19.0273583410963,19.4964320624877,19.7671167511522,21.3872899452186,999,21.8824266788767,32.2825221315634,22.2791458684585,999,20.2271684661992,999,16.9923732496749,999,999,999,999,999,20.0185867892785,999,999,999,999,999,999,999,999,999,999,999,23.8243693977052,21.748785284571,16.1797380803041,15.7241362262346,999,14.4405088480652,20.869203763866,14.8041068991292,17.4171823999076,18.0719519902659,999,21.5941359055515,999,999,999,999,,
16,260_03-11-2020_A1,999,999,999,999,26.7978115336365,999,999,999,23.1079327088655,22.7563386929539,999,32.048987388441,999,999,999,999,24.1052242537078,22.0122399251086,999,999,999,25.4308485135959,999,999,999,999,999,999,999,999,999,999,999,31.481380111035,999,999,999,999,999,19.7003025236517,999,999,999,13.3829601171,13.2904343851343,13.3190112885906,999,22.7219584842478,20.8317572998149,21.8689753546896,20.9699284305572,22.5833737626467,23.2902100071005,22.3455862171325,24.7010517201543,999,22.7542174877105,31.5049460864917,22.4228250660797,999,22.7916789781175,999,19.2807098543156,999,999,999,999,999,22.0008946324048,999,999,20.563985483301,999,20.5338692471112,999,999,999,999,999,999,999,22.161572559518,18.6178109521641,18.4417430620957,999,15.3068710705401,22.8686015702134,15.9841076362998,19.5321287491915,23.7218881346238,999,20.3045572506617,999,999,999,999,,
17,306_03-11-2020_B1-2,999,999,999,999,999,999,999,999,24.1594414031304,23.1652404232512,999,999,999,999,999,999,999,22.4055018905026,999,999,999,999,999,999,999,999,999,999,999,999,999,29.6351523825427,999,29.6195650726396,999,999,999,999,999,20.5148199062381,999,999,999,13.0626071143107,13.0500787644149,12.9319858287971,999,24.3246697939664,19.8545689824234,19.4559795209779,18.8090778758726,19.5208579696589,19.5939619716481,19.8681243679466,999,999,22.6528519171941,32.0312333669885,18.4407258852729,999,21.3627335038372,999,18.5898285664836,999,999,999,999,999,20.9137626583078,23.6690560355224,999,24.0897496041191,999,22.4398528074618,999,999,999,999,999,999,999,19.6758248955503,17.2950911497708,17.1027191036075,999,15.375764851971,24.1160234818479,16.156656048045,18.5045221526994,19.671080961932,999,23.1947951338922,999,24.1635518842005,999,999,,
18,329_03-11-2020_B1-1,999,999,999,999,999,999,32.0237735041158,999,19.9358200665246,20.4917896957594,25.5510527715979,24.6814342062016,999,999,999,999,999,20.4348752019479,999,999,999,999,999,999,999,999,999,999,999,999,999,30.1443288516275,999,999,999,999,999,999,999,20.1852022039383,999,999,999,12.6901776010124,12.8077816881432,12.7569282754461,999,999,18.8164079208434,18.9195170240059,18.7474268002279,19.2876390197968,19.8408937241878,19.4217248205224,23.5364142675681,999,999,31.1247403012609,21.2251935516345,999,20.908267070912,999,18.2480447524831,999,999,999,999,999,20.0681495171874,999,999,22.005299919243,31.5475542939637,999,999,999,999,999,999,999,999,22.5346868675378,17.2079775628575,16.9207741446058,999,16.1194615050498,22.6826527469549,15.8427816600678,18.6371400594898,21.1101141232632,999,999,999,22.8565117531866,999,999,,
19,Katrine Poolmix 2018 10-3,17.1010839461128,17.6894306897478,18.3968175960877,18.1349166201496,18.3357426557746,17.9574254928438,19.754003822954,19.5174866728719,19.426020141719,17.3257289459725,17.6299683662834,18.6994902680833,19.3742963159013,19.0397813331217,21.6131924222101,19.161787813636,19.0657308360106,999,17.7767219447418,24.5844080763993,17.7891623452774,18.0725988778284,18.1669212700942,19.651876946749,999,17.763448095532,17.6271707127732,20.3999840110605,17.9357903403286,19.7920571978348,17.3398270477516,19.3444234585097,17.1440068566577,17.6150433287976,20.5690569570284,19.9711876008101,19.7184986850993,18.0849588546959,20.6385414875187,17.9376781864038,20.0613125197032,18.958942300434,19.1767565425571,16.8804211641363,17.1725941889164,17.0667854951145,19.1982209116107,19.1295613149454,18.0928103324522,17.5820898560468,18.3335385911123,18.2743764934043,18.5913223794091,18.3425725101326,18.7463098443277,999,17.3294952677438,18.052203033954,999,22.678186398385,17.7754363415621,21.6523572675089,20.5515346362877,18.163622428073,17.8104921988961,17.3552907673137,18.8806805944184,18.1372042777229,19.4052664403391,18.4937626788475,24.9103648442092,21.4212065145822,28.308669105331,21.4291529191315,17.8789839200015,22.9137014824717,21.9708590206501,24.7128454460336,23.0304034192779,23.2853700765859,999,18.8395394147004,999,19.2292575305112,24.3508635617872,19.1295664877525,22.2576038145744,19.4293574238343,17.3174166324316,18.4003269068526,17.9897505356583,17.5726376461172,999,999,999,999,,
